SITEYRID,SiteName,Date,SurveyPeriod,VisitNum,NumObservers,_CloudCoverStart%,PrecipStart,NoiseStart,TempStart_F,_CloudCoverEnd,PrecipEnd,NoiseEnd,TempEnd_F,CallPtStart,CallPt_UTMEast,CallPt_UTMNorth,WaypointNum,DetectionNum,TimeDetection,_I_P,_A_V_B,Bearing,Distance,VocalCode,BehCode,NumKowlp,Detection_Notes,SurveyPt_Notes,Survey_Notes,Survey Type,Comments,
,Mansfield East,7/21/2020,2,1,2,75,0,0,68,50,0,0,84,5:50,519978,3496869,5,1,5:50,I,A,136,40,CN,NV,0,,,,,,
983,Mansfield East,7/22/2020,2,1,2,75,0,0,68,50,0,0,84,6:04,520071,3496482,1,1,6:05,p,A,45,50,cn,nv,1,,,,,,
983,Mansfield East,7/23/2020,2,1,2,75,0,0,68,50,0,0,84,6:28,519908,3497190,8,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,5:45,597645,3532293,1,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,5:54,597649,3532394,2,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:02,597640,3532497,3,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:11,597653,3532597,4,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:21,597661,3532697,5,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:30,597713,3532785,6,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:38,597779,3532861,7,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:47,597848,3532937,8,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,6:54,597896,3533028,9,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:02,597954,3533111,10,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:10,597983,3533207,11,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:19,598031,3533295,12,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:26,598108,3533359,13,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:34,598188,3533421,14,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:42,598243,3533506,15,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:50,598276,3533601,16,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,7:59,598308,3533696,17,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:07,598331,3533796,18,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:14,598354,3533893,19,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:23,598349,3533993,20,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:30,598356,3534094,21,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:38,598389,3534191,22,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:45,598427,3534284,23,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,8:53,598472,3534375,24,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:00,598503,3534471,25,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:08,598532,3534569,26,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:16,598538,3534672,27,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:24,598562,3534769,28,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:31,598598,3534865,29,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:39,598638,3534958,30,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:47,598692,3535042,31,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,9:56,598773,3535100,32,,,,,,,,,,,,,,,
896,Halfmoon East ,8/27/2020,post-breeding season,1,2,C,0,0,70,C,0,1,86,10:04,598871,3535124,33,,,,,,,,,,,,,,,
896,Halfmoon East ,9/10/2020,Optional ,NR,2,0,0,0,58,10,0,0,74,6:01,598859,3535117,HC33,,,,,,,,,,,,,,,
896,Halfmoon East ,9/10/2020,Optional ,NR,2,0,0,0,58,10,0,0,74,6:12,598823,3535008,HC32,,,,,,,,,,,skipped due to red-tail hawk/turkey vulture presence,,,,
896,Halfmoon East ,9/10/2020,Optional ,NR,2,0,0,0,58,10,0,0,74,6:14,598803,3534908,HC31,,,,,,,,,,,skipped due to red-tail hawk/turkey vulture presence,,,,
